Iterating over heap. This may take a while...
Object Histogram:

num       #instances    #bytes  Class description
--------------------------------------------------------------------------
160:            5893    141432  org.apache.http.impl.io.DefaultHttpRequestWriter
161:            3314    132560  org.apache.http.conn.routing.RouteTracker
162:            5277    126648  org.apache.http.protocol.BasicHttpContext
163:            7331    117296  java.util.TreeMap$KeySet
164:            7331    117296  java.util.concurrent.ConcurrentHashMap$EntrySetView
165:            7330    117280  org.apache.http.impl.cookie.BasicDomainHandler
166:            7330    117280  org.apache.http.impl.cookie.BasicExpiresHandler
167:            7329    117264  org.apache.http.impl.cookie.NetscapeDraftSpec
168:            7329    117264  org.apache.http.impl.cookie.RFC2965VersionAttributeHandler
169:            7329    117264  org.apache.http.impl.cookie.RFC2965DomainAttributeHandler
170:            7329    117264  org.apache.http.impl.cookie.RFC2965CommentUrlAttributeHandler
171:            7329    117264  org.apache.http.impl.cookie.RFC2965DiscardAttributeHandler
172:            7329    117264  org.apache.http.impl.cookie.RFC2109VersionHandler
173:            7329    117264  org.apache.http.impl.cookie.RFC2965PortAttributeHandler
174:            7329    117264  org.apache.http.impl.cookie.RFC2109DomainHandler
175:            4821    115704  java.util.zip.ZStreamRef
176:            6751    108016  java.lang.Integer
177:            3271    104672  java.lang.StringCoding$StringEncoder
178:            1793    100408  java.beans.MethodDescriptor
179:            1560    99840   com.mysql.jdbc.ConnectionPropertiesImpl$StringConnectionProperty
180:            362     98256   java.util.Hashtable$Entry[]
181:            4080    97920   java.lang.StringBuilder
182:            1717    96152   com.jinba.scheduled.dianping.DianPingListClawer
183:            5981    95696   org.apache.http.impl.conn.CPoolProxy
184:            5796    93320   org.apache.http.Header[]
185:            3639    87336   java.beans.MethodRef
186:            324     85536   com.mysql.jdbc.JDBC4PreparedStatement
187:            5277    84432   org.apache.http.client.protocol.HttpClientContext
188:            463     81488   com.mysql.jdbc.JDBC4ResultSet
189:            3354    80496   java.net.InetSocketAddress$InetSocketAddressHolder
190:            3318    79632   java.net.InetAddress[]
191:            1092    78624   com.mysql.jdbc.ConnectionPropertiesImpl$IntegerConnectionProperty
192:            1603    76944   org.apache.http.message.BasicHttpResponse
193:            3191    76584   org.apache.http.impl.conn.LoggingInputStream
194:            938     75040   java.lang.reflect.Constructor
195:            3115    74760   org.apache.http.impl.conn.LoggingOutputStream
196:            1761    70440   org.apache.http.entity.BasicHttpEntity
197:            3302    67392   java.lang.Class[]
198:            2780    66720   org.apache.commons.httpclient.Header
199:            1174    65744   java.util.zip.GZIPInputStream
200:            4071    65136   java.util.concurrent.ConcurrentHashMap$ValuesView
201:            657     57816   org.apache.commons.httpclient.methods.GetMethod
202:            3346    53536   java.net.InetSocketAddress
203:            39      44928   com.mysql.jdbc.JDBC4Connection
204:            1759    42216   org.apache.http.impl.execchain.ResponseEntityProxy
205:            657     42048   org.apache.commons.httpclient.HttpConnection
206:            1313    42016   org.apache.commons.httpclient.HostConfiguration
207:            430     41280   org.springframework.beans.GenericTypeAwarePropertyDescriptor
208:            851     40848   org.apache.tomcat.util.modeler.AttributeInfo
209:            838     40224   org.apache.commons.lang3.time.StopWatch
210:            1232    39424   java.lang.ThreadLocal$ThreadLocalMap$Entry
211:            228     38920   char[][]
212:            103     38728   java.lang.Thread
213:            1603    38472   org.apache.http.impl.execchain.HttpResponseProxy
214:            1603    38472   org.apache.http.message.BasicStatusLine
215:            89      37240   short[]
216:            642     35952   sun.nio.cs.US_ASCII$Encoder
217:            1495    35880   org.apache.http.conn.EofSensorInputStream
218:            2225    35600   java.lang.Character
219:            481     34632   java.beans.PropertyDescriptor
220:            324     33696   com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl
221:            452     32544   java.lang.reflect.Field
222:            1315    31560   org.apache.commons.httpclient.params.HostParams
223:            1971    31536   org.apache.commons.httpclient.HeaderGroup
224:            1314    31536   org.apache.commons.httpclient.auth.AuthState
225:            1312    31488   org.apache.commons.httpclient.HttpHost
226:            1312    31488   org.apache.commons.httpclient.ProxyHost
227:            655     31440   org.apache.commons.httpclient.HttpMethodDirector
228:            966     29656   boolean[]
229:            1174    28176   org.apache.http.client.entity.LazyDecompressingInputStream
230:            1174    28176   org.apache.http.client.entity.DecompressingEntity
231:            681     27240   java.math.BigInteger
232:            815     26080   sun.security.util.DerValue
233:            815     26080   sun.security.util.DerInputBuffer
234:            324     25920   com.alibaba.druid.proxy.jdbc.JdbcParameter[]
235:            399     25536   java.util.regex.Matcher
236:            795     25440   java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
237:            1562    24992   com.jinba.core.BaseDetailClawer$1
238:            753     24096   com.jinba.spider.proxy.ProxyChecker
239:            568     22720   org.apache.http.impl.io.ContentLengthInputStream
240:            708     22656   javax.management.MBeanAttributeInfo
241:            456     21888   org.apache.http.impl.io.ChunkedInputStream
242:            657     21024   org.apache.commons.httpclient.SimpleHttpConnectionManager
243:            657     21024   org.apache.commons.httpclient.HttpState
244:            657     21024   com.jinba.spider.proxy.HttpHandler
245:            657     21024   org.apache.commons.httpclient.HttpClient
246:            214     20832   java.lang.ThreadLocal$ThreadLocalMap$Entry[]
247:            324     20736   com.mysql.jdbc.PreparedStatement$ParseInfo
248:            99      19800   com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
249:            815     19560   sun.security.util.DerInputStream
250:            805     19320   sun.security.x509.RDN
251:            805     19320   sun.security.x509.AVA
252:            805     19320   sun.security.x509.AVA[]
253:            172     19264   java.util.GregorianCalendar
254:            336     18816   java.lang.Package
255:            1174    18784   java.util.zip.CRC32
256:            382     18336   java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
257:            735     17640   org.apache.http.impl.io.IdentityInputStream
258:            236     16992   org.apache.tomcat.util.net.jsse.openssl.Cipher
259:            422     16880   javax.servlet.jsp.tagext.TagAttributeInfo
260:            238     16224   long[]
261:            658     15792   org.apache.commons.httpclient.params.HttpClientParams
262:            657     15768   org.apache.commons.httpclient.params.HttpConnectionParams
263:            657     15768   org.apache.commons.httpclient.params.HttpMethodParams
264:            657     15768   org.apache.commons.httpclient.params.HttpConnectionManagerParams
265:            652     15648   sun.nio.cs.Surrogate$Parser
266:            324     15552   com.alibaba.druid.pool.PreparedStatementHolder
267:            108     15552   org.springframework.beans.factory.support.RootBeanDefinition
268:            324     15552   com.alibaba.druid.pool.DruidPooledPreparedStatement$PreparedStatementKey
269:            637     15288   java.util.LinkedList$Node
270:            671     15072   byte[][]
271:            302     14496   org.apache.tomcat.util.digester.CallMethodRule
272:            450     14400   sun.security.util.ObjectIdentifier
273:            442     14144   org.jsoup.nodes.DataNode
274:            347     13880   java.util.ArrayList$SubList
275:            347     13880   java.util.ArrayList$SubList$1
276:            96      13824   java.text.DecimalFormat
277:            125     13712   java.util.WeakHashMap$Entry[]
278:            284     13632   org.apache.tomcat.util.modeler.OperationInfo
279:            186     13392   java.util.logging.Logger
280:            540     12960   org.apache.http.HttpHost[]
281:            381     12192   com.sun.org.apache.xerces.internal.xni.QName
282:            603     12176   java.lang.reflect.Type[]
283:            213     11928   java.util.ResourceBundle$CacheKey
